Record Length,1024,Points,0.0,-6.18970013,
Sample Interval,123.3033447,Hz,123.3033447,-3.78970003,
Trigger Point,0.0,Samples,246.60668945,-10.1897001,
,,,369.91003418,-43.38970184,
,,,493.213378906,-43.38970184,
,,,616.516723633,-41.38970184,
Source,MATH,,739.820068359,-42.98970032,
Vertical Units,dB,,863.123413086,-46.58969879,
Vertical Scale,10.0000001,,986.426757813,-44.58969879,
Vertical Offset,-26,9897,,1.1097302E3,-45.78969955,
Horizontal Units,Hz,,1.2330335E3,-43.38970184,
Horizontal Scale,12.6262631E3,,1.3563369E3,-53.38970184,
Pt Fmt,Y,,1.4796402E3,-45.78969955,
Yzero,0.0,,1.6029436E3,-32.98970032,
,,,1.7262469E3,-10.9897003,
,,,1.8495503E3,-1.7896999,
Note,TDS 1012B - 11:54:07 a. m.   29/07/2026,,1.9728536E3,-589.699923992E-3,
,,,2.0961568E3,-989.699959755E-3,
,,,2.2194603E3,-5.38969994,
,,,2.3427638E3,-26.58970070,
,,,2.4660670E3,-39.78969955,
,,,2.5893702E3,-38.98970032,
,,,2.7126737E3,-42.98970032,
,,,2.83597719E3,-57.389701843,
,,,2.95928041E3,-54.58970261,
,,,3.08258364E3,-54.989700317,
,,,3.20588712E3,-47.38970184,
,,,3.32919059E3,-40.58969879,
,,,3.45249382E3,-43.38970184,
,,,3.57579704E3,-35.38970184,
,,,3.69910052E3,-20.18970108,
,,,3.82240399E3,-7.389699936,
,,,3.94570722E3,-5.38969994,
,,,4.06901045E3,-5.38969994,
,,,4.19231368E3,-8.189700127,
,,,4.31561739E3,-22.98970032,
,,,4.43892062E3,-39.78969955,
,,,4.56222385E3,-42.58969879,
,,,4.68552757E3,-46.18970108,
,,,4.80883079E3,-47.38970184,
,,,4.93213402E3,-45.38970184,
,,,5.05543725E3,-50.58969879,
,,,5.17874048E3,-48.18970108,
,,,5.30204420E3,-41.38970184,
,,,5.42534743E3,-41.38970184,
,,,5.54865065E3,-41.38970184,
,,,5.67195437E3,-38.18970108,
,,,5.79525760E3,-21.78969955,
,,,5.91856083E3,-18.5897007,
,,,6.04186406E3,-18.5897007,
,,,6.16516729E3,-20.18970108,
,,,6.28847100E3,-30.18970108,
,,,6.41177423E3,-43.78969955,
,,,6.53507746E3,-46.18970108,
,,,6.65838118E3,-44.58969879,
