Record Length,1024,Points,0.0,2.2308993,
Sample Interval,49.32133865,Hz,49.32133865,4.63089943,
Trigger Point,0.0,Samples,98.642677307,-1.7691007,
,,,147.9640198,-58.569103241,
,,,197.28535461,-55.369102478,
,,,246.60668945,-60.969100952,
Source,MATH,,295.92803955,-60.969100952,
Vertical Units,dB,,345.24935913,-58.569103241,
Vertical Scale,10.0000001,,394.57070923,-54.56910324,
Vertical Offset,-20,9691,,443.892059326,-52.56910324,
Horizontal Units,Hz,,493.213378906,-54.56910324,
Horizontal Scale,5.05050532E3,,542.534729004,-58.569103241,
Pt Fmt,Y,,591.856079102,-55.369102478,
Yzero,0.0,,641.177429199,-58.569103241,
,,,690.498718262,-60.969100952,
,,,739.820068359,-60.969100952,
Note,TDS 1012B - 11:47:58 a. m.   29/07/2026,,789.141418457,-58.569103241,
,,,838.462768555,-60.969100952,
,,,887.784118652,-43.76910019,
,,,937.105407715,-34.16910172,
,,,986.426757813,-32.56909943,
,,,1.0357482E3,-32.96910095,
,,,1.0850695E3,-37.36910248,
,,,1.1343908E3,-58.569103241,
,,,1.1837122E3,-60.969100952,
,,,1.2330335E3,-60.969100952,
,,,1.2823549E3,-60.969100952,
,,,1.3316762E3,-60.969100952,
,,,1.3809975E3,-60.969100952,
,,,1.4303189E3,-54.56910324,
,,,1.4796402E3,-58.569103241,
,,,1.5289616E3,-55.369102478,
,,,1.5782829E3,-54.56910324,
,,,1.6276042E3,-54.56910324,
,,,1.6769256E3,-48.96910095,
,,,1.7262469E3,-48.96910095,
,,,1.7755683E3,-39.76910019,
,,,1.8248896E3,-32.16910172,
,,,1.8742109E3,-16.5691013,
,,,1.9235323E3,-1.7691007,
,,,1.9728536E3,1.0308994,
,,,2.0221750E3,1.0308994,
,,,2.0714964E3,-969.100654125E-3,
,,,2.1208177E3,-13.7691011,
,,,2.1701390E3,-30.56910133,
,,,2.2194603E3,-39.76910019,
,,,2.2687816E3,-45.76910019,
